slice,function,round_e,round_f,delta
shadow::O0::chfn,update_gecos,0.4,0.7,0.3
shadow::O0::chgpasswd,close_files,0.5,1.0,0.5
shadow::O0::chgpasswd,fail_exit,0.6,1.0,0.4
shadow::O0::chgpasswd,main,0.3333,0.4667,0.1333
shadow::O0::chpasswd,close_files,0.5,1.0,0.5
shadow::O0::chpasswd,fail_exit,0.6,1.0,0.4
shadow::O0::chpasswd,main,0.4286,0.5714,0.1429
shadow::O0::chsh,fail_exit,0.6667,1.0,0.3333
shadow::O0::chsh,main,0.625,0.75,0.125
shadow::O0::chsh,shell_is_listed,0.6667,1.0,0.3333
shadow::O0::chsh,update_shell,0.4167,0.75,0.3333
shadow::O0::expiry,main,0.5,0.6667,0.1667
shadow::O0::faillog,print,0.0,1.0,1.0
shadow::O0::faillog,reset,0.6667,1.0,0.3333
shadow::O0::faillog,set_locktime,0.75,1.0,0.25
shadow::O0::faillog,setmax,0.75,1.0,0.25
shadow::O0::gpasswd,change_passwd,0.1667,0.3333,0.1667
shadow::O0::gpasswd,get_group,0.3333,0.5833,0.25
shadow::O0::gpasswd,log_gpasswd_failure,0.5333,1.0,0.4667
shadow::O0::gpasswd,log_gpasswd_success,0.5333,1.0,0.4667
shadow::O0::gpasswd,main,0.5,0.7,0.2
shadow::O0::gpasswd,open_files,0.5,1.0,0.5
shadow::O0::groupadd,close_files,0.5,1.0,0.5
shadow::O0::groupadd,open_files,0.5,1.0,0.5
shadow::O0::groupadd,process_flags,0.6,0.8,0.2
shadow::O0::groupdel,close_files,0.5,1.0,0.5
shadow::O0::groupdel,open_files,0.5,1.0,0.5
shadow::O0::groupmems,close_files,0.5,1.0,0.5
shadow::O0::groupmems,fail_exit,0.6,1.0,0.4
shadow::O0::groupmems,whoami,0.0,1.0,1.0
shadow::O0::groupmod,close_files,0.5,1.0,0.5
shadow::O0::groupmod,open_files,0.5,1.0,0.5
shadow::O0::groups,main,0.6667,0.8889,0.2222
shadow::O0::groups,print_groups,0.6,0.8,0.2
shadow::O0::grpck,check_grp_file,0.2143,0.3571,0.1429
shadow::O0::grpck,check_members,0.7,0.8,0.1
shadow::O0::grpck,close_files,0.6,1.0,0.4
shadow::O0::grpck,fail_exit,0.6,1.0,0.4
shadow::O0::grpck,open_files,0.5,1.0,0.5
shadow::O0::grpconv,fail_exit,0.6,1.0,0.4
shadow::O0::grpconv,main,0.4,0.6667,0.2667
shadow::O0::grpunconv,fail_exit,0.6,1.0,0.4
shadow::O0::grpunconv,main,0.4615,0.7692,0.3077
shadow::O0::id,main,0.7692,0.9231,0.1538
shadow::O0::login,init_env,0.0,1.0,1.0
shadow::O0::login,update_utmp,0.6,0.8,0.2
shadow::O0::logoutd,send_mesg_to_tty,0.7143,1.0,0.2857
shadow::O0::newgrp,check_perms,0.3636,0.7273,0.3636
shadow::O0::newgrp,main,0.6087,0.8261,0.2174
shadow::O0::newusers,close_files,0.5,1.0,0.5
shadow::O0::newusers,fail_exit,0.5385,1.0,0.4615
shadow::O0::nologin,main,0.75,1.0,0.25
shadow::O0::passwd,fail_exit,0.6,1.0,0.4
shadow::O0::passwd,main,0.5385,0.8462,0.3077
shadow::O0::passwd,print_status,0.0,0.3333,0.3333
shadow::O0::passwd,update_noshadow,0.375,0.625,0.25
shadow::O0::passwd,update_shadow,0.4,0.7,0.3
shadow::O0::pwck,check_pw_file,0.2857,0.4286,0.1429
shadow::O0::pwck,close_files,0.5556,1.0,0.4444
