slice,function,round_f,round_g,delta
findutils::O0::find,fallback_getfilecon,0.75,1.0,0.25
findutils::O0::find,get_format_flags_length,0.5,1.0,0.5
findutils::O0::find,launch,0.3,0.4,0.1
findutils::O0::find,optionh_getfilecon,0.75,1.0,0.25
findutils::O0::find,optionl_getfilecon,0.75,1.0,0.25
findutils::O0::find,optionp_getfilecon,0.6667,1.0,0.3333
findutils::O0::find,parse_octal_escape,0.4,0.6,0.2
findutils::O0::find,scan_for_digit_differences,0.6667,1.0,0.3333
findutils::O2-noinline::find,do_fprintf,0.1111,0.1667,0.0556
findutils::O2-noinline::find,fallback_getfilecon,0.6,0.8,0.2
findutils::O2-noinline::find,get_format_flags_length,0.0,0.5,0.5
findutils::O2-noinline::find,launch,0.0,0.0909,0.0909
findutils::O2-noinline::find,optionh_getfilecon,0.25,0.5,0.25
findutils::O2-noinline::find,optionl_getfilecon,0.25,0.5,0.25
findutils::O2-noinline::find,optionp_getfilecon,0.0,1.0,1.0
findutils::O2-noinline::find,parse_ipath,0.0,0.3333,0.3333
findutils::O2-noinline::find,parse_iwholename,0.0,0.3333,0.3333
findutils::O2-noinline::find,parse_path,0.0,0.3333,0.3333
findutils::O2-noinline::find,parse_wholename,0.0,0.3333,0.3333
findutils::O2-noinline::find,pred_exec,0.0,0.3333,0.3333
findutils::O2-noinline::find,safely_quote_err_filename,0.5,1.0,0.5
findutils::O2::find,do_fprintf,0.0833,0.125,0.0417
findutils::O2::find,launch,0.0,0.0667,0.0667
findutils::O2::find,optionl_getfilecon,0.25,0.5,0.25
findutils::O2::find,optionp_getfilecon,0.0,1.0,1.0
findutils::O2::find,parse_amin,0.0,0.3333,0.3333
findutils::O2::find,parse_cmin,0.0,0.3333,0.3333
findutils::O2::find,parse_ipath,0.0,0.3333,0.3333
findutils::O2::find,parse_iwholename,0.0,0.3333,0.3333
findutils::O2::find,parse_mmin,0.0,0.3333,0.3333
findutils::O2::find,parse_path,0.0,0.3333,0.3333
findutils::O2::find,parse_wholename,0.0,0.3333,0.3333
findutils::O2::find,pred_exec,0.0,0.3333,0.3333
grep::O0::grep,contains_encoding_error,0.6,0.8,0.2
grep::O0::grep,fgrep_icase_available,0.6,0.8,0.2
grep::O2-noinline::grep,acexec,0.0,0.4,0.4
grep::O2-noinline::grep,contains_encoding_error,0.2,0.4,0.2
grep::O2-noinline::grep,fgrep_icase_available,0.2,0.4,0.2
grep::O2-noinline::grep,pr_sgr_start_if,0.0,1.0,1.0
gzip::O0::gzip,xmemdup,1.0,0.5,-0.5
gzip::O2-noinline::gzip,gzip_base_name,0.0,1.0,1.0
gzip::O2-noinline::gzip,gzip_error,0.0,1.0,1.0
gzip::O2-noinline::gzip,warning,0.0,1.0,1.0
gzip::O2-noinline::gzip,xmemdup,0.4,0.2,-0.2
gzip::O2::gzip,gzip_base_name,0.0,1.0,1.0
gzip::O2::gzip,gzip_error,0.0,1.0,1.0
gzip::O2::gzip,warning,0.0,1.0,1.0
gzip::O2::gzip,xmemdup,0.4,0.2,-0.2
shadow::O0::gpasswd,change_passwd,0.3333,0.5,0.1667
shadow::O0::groups,main,0.8889,1.0,0.1111
shadow::O0::id,main,0.9231,1.0,0.0769
shadow::O0::login,process_flags,0.4,0.6,0.2
shadow::O0::logoutd,main,0.7273,0.8182,0.0909
shadow::O0::userdel,user_cancel,0.0,0.25,0.25
shadow::O2-noinline::chfn,update_gecos,0.0,0.0556,0.0556
shadow::O2-noinline::chsh,is_restricted_shell,0.0,1.0,1.0
shadow::O2-noinline::login,get_pam_user,0.0,0.1429,0.1429
shadow::O2-noinline::login,process_flags,0.1111,0.2222,0.1111
shadow::O2-noinline::login,update_utmp,0.0,0.6,0.6
shadow::O2-noinline::logoutd,main,0.0952,0.1429,0.0476
shadow::O2-noinline::userdel,user_cancel,0.0,0.25,0.25
shadow::O2::login,get_pam_user,0.0,0.1429,0.1429
shadow::O2::logoutd,main,0.1935,0.2258,0.0323
tar::O0::tar,diff_symlink,0.5,0.75,0.25
tar::O0::tar,fd_chmod,0.8333,1.0,0.1667
tar::O0::tar,fd_chown,0.8333,1.0,0.1667
tar::O0::tar,fd_i_chmod,0.8,1.0,0.2
tar::O0::tar,rebase_directory,0.4,0.6,0.2
tar::O0::tar,replace_prefix,0.5714,0.7143,0.1429
tar::O0::tar,run_checkpoint_actions,0.5,0.75,0.25
tar::O0::tar,set_file_atime,0.4,0.6,0.2
tar::O0::tar,set_stat,0.6364,0.7273,0.0909
tar::O0::tar,split_long_name,0.6667,1.0,0.3333
tar::O0::tar,xattrs__fd_set,0.625,0.75,0.125
tar::O2-noinline::tar,addname,0.4,0.6,0.2
tar::O2-noinline::tar,close_diag,0.0,1.0,1.0
tar::O2-noinline::tar,confirm,0.375,0.5,0.125
tar::O2-noinline::tar,fd_chmod,0.1667,0.3333,0.1667
tar::O2-noinline::tar,fd_chown,0.6667,0.8333,0.1667
tar::O2-noinline::tar,fd_i_chmod,0.6,0.8,0.2
tar::O2-noinline::tar,file_selection_option_name,0.0,0.5,0.5
tar::O2-noinline::tar,finish_header,0.0,0.3333,0.3333
tar::O2-noinline::tar,gname_coder,0.0,0.25,0.25
tar::O2-noinline::tar,gnu_flush_write,0.0,1.0,1.0
tar::O2-noinline::tar,hash_directory_canonical_name,0.3333,0.6667,0.3333
tar::O2-noinline::tar,is_file_selection_option,0.0,1.0,1.0
tar::O2-noinline::tar,linkpath_coder,0.0,0.25,0.25
tar::O2-noinline::tar,merge_sort,0.0,0.1667,0.1667
tar::O2-noinline::tar,name_hash,0.3333,0.6667,0.3333
tar::O2-noinline::tar,name_next,0.0,0.5,0.5
tar::O2-noinline::tar,open_diag,0.0,1.0,1.0
tar::O2-noinline::tar,option_set_in_cl,0.0,0.5,0.5
tar::O2-noinline::tar,path_coder,0.0,0.25,0.25
tar::O2-noinline::tar,purge_directory,0.0,1.0,1.0
tar::O2-noinline::tar,read_diag_details,0.0,1.0,1.0
tar::O2-noinline::tar,readlink_diag,0.0,1.0,1.0
tar::O2-noinline::tar,rebase_directory,0.0,0.6,0.6
tar::O2-noinline::tar,replace_prefix,0.1538,0.2308,0.0769
